"created_at","state","code","text","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"09","Ohio","OH","dayton’s ywca domestic violence shelters need body wash hair care products baby wipes   httpstco5fxyd2upee",1,0,0,1,1,1,0,0,1,1
"09","Florida","FL","rt drjamesolsson 16yearolds dropping dead  heart attacks    football field  people dont even care  doesnt even make …",0,1,0,0,1,0,0,0,0,1
"09","California","CA","rt briandmcbride student loan forgiveness marijuana medicare drug reform   never witness  government take  direct action …",0,0,0,1,0,0,0,1,1,2
"09","California","CA","carloanquickapproval httpstcocy5sx2t6uy",0,0,0,0,0,0,0,0,0,0
"09","Texas","TX","rt speakerpelosi  criminalizing abortion  dismantling medicare  attacking democracy housegop’s agenda  dangerous  extreme…",1,0,2,3,0,2,1,0,3,1
"09","New York","NY"," 17yearold accused  murdering two north carolina high school students   arrested weeks   b… httpstcobvnnobhnyt",1,0,0,1,0,0,0,1,1,0
"09","Wisconsin","WI","rt butchornile worst president ever 

carter amp nobama  smiling httpstconjfzsxy5mb",0,0,0,0,1,0,0,1,0,2
"09","Illinois","IL","make  two mlb teams named   bird  blow  lead   9th inning   game   wild card round car… httpstcoth7dqsrmse",0,0,0,0,0,0,1,0,1,1
"09","Illinois","IL","soxcardboard 👀  ",0,0,0,0,0,0,0,0,0,0
"09","Massachusetts","MA","lot 83
 card 1
see pinned tweet  deals  sale info 
claim card  
bb10dollersale… httpstcolt4hdsuecl",0,0,0,0,0,0,0,0,0,0
"09","Colorado","CO","bidenboom   cartels  much chinese fentanyl will  buy",0,0,0,0,0,0,0,0,0,0
"09","Colorado","CO","  love   comes  jump  car  1  asking   friend",0,0,0,0,3,0,0,1,0,3
"09","Pennsylvania","PA","rt msl20174    pumped tonight lgm 💪👊💪👊💪👊⚾️⚾️⚾️⚾️⚾️⚾️⚾️⚾️⚾️postseason wildcardseries",0,0,0,0,0,0,0,0,0,0
"09","Texas","TX","karilake katiehobbs katiehobbs  hoping  media can carry ",0,0,0,0,0,0,0,0,0,0
"09","Georgia","GA","rt prettimixbreed   friends  genuinely care   thank   love ❤️",0,0,0,0,1,0,0,0,0,1
"09","Michigan","MI","rt zachshaw jj mccarthy says  team  going  give mike hart  game ball said blake corum   delivering    soon",0,0,0,0,0,0,0,1,0,0
"09","Texas","TX","rt tturaiderred  don’t care  anyone says  football team  something special ❤️",0,1,0,0,2,0,0,2,0,3
"09","Louisiana","LA","rt wildcard2k “ ain’t swac ’m swac”😳 alabama state hc eddie robinson  jackson state hc deion sanders bamastate swac swarmas1…",0,0,0,0,0,0,0,0,0,0
"09","California","CA","tangtooreal2 treypfromcali care getting  nice pic cartooned ❤️🤗🥰",0,0,0,0,0,0,0,0,0,0
"09","Ohio","OH","rt theproblem jon interviewed leslie rutledge arkansas attorney general    state banned genderaffirming care  minors  …",1,0,0,1,0,0,0,2,0,2
"09","North Carolina","NC","rt prettimixbreed   friends  genuinely care   thank   love ❤️",0,0,0,0,1,0,0,0,0,1
"09","Maryland","MD","rt lori95418177 horrorwriter61 1970s california car dealer lou peters goes undercover  bring   bonanno mafia family   h…",0,0,0,1,0,0,0,0,1,0
"09","Alabama","AL","rt wildcard2k “ ain’t swac ’m swac”😳 alabama state hc eddie robinson  jackson state hc deion sanders bamastate swac swarmas1…",0,0,0,0,0,0,0,0,0,0
"09","North Carolina","NC","three car battle now  seventh  hite borden  jones",1,0,0,0,0,0,0,0,1,0
"09","New York","NY","carlocolaiacovo mickeycanuck  bluejays will win nothing absolutely nothing  shatkins running  team… httpstcoz8ughdomn8",0,0,0,0,0,0,0,1,0,0
