"created_at","state","code","text","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"12","Iowa","IA","rt dineshdsouza    view   2020 election",0,0,0,0,0,0,0,0,0,0
"12","Texas","TX","rt brianbengs sen thune claims  can’t debate   doesn’t  time yet hell   sd everyday  now amp  election

…",1,1,1,1,0,1,0,0,1,1
"12","Ohio","OH","rt madliberals  celebration   finally reinstated  two years  election interference  twitter heres  video  made whi…",0,2,1,0,2,0,2,2,1,2
"12","Illinois","IL","rt purplelicorice electionlegal   perry began  seriouspost",0,0,0,0,0,0,0,0,0,0
"12","Virginia","VA","rt projectlincoln  heat     keystone state midterm elections join us  state   race pennsylvania  special guest…",0,0,0,0,1,0,0,0,0,3
"12","Virginia","VA","rt dennisdionne18 danaperino 

 parents  angry  school boards  dont  recall school board members   elections …",1,1,1,0,0,0,0,1,1,0
"12","Georgia","GA","rt jackposobiec biden  begging saudi arabia   cut production    election pathetic",0,1,1,0,0,1,0,0,2,1
"12","California","CA","umichvoter nothing compared   2000 election",0,0,0,0,0,0,0,0,0,0
"12","Texas","TX","twittersafety lies youre left leaning  actually suppress election news  support  politicians   un… httpstcowaxgbaimdr",1,0,0,1,0,1,0,1,1,0
"12","Utah","UT","rt evanmcmullin tedcruz voted  certifying  election  mikeleeforutah worked 14 hour days  find fake electors  trum…",0,0,0,0,0,0,0,0,1,0
"12","North Carolina","NC","rt electblue2022 high commissioner  bosnia christian schmidt put changes   election  effect   election night  …",0,0,0,0,0,0,0,0,0,0
"12","West Virginia","WV","rt ambrosiaijebu   ever seen  election   ruling party candidate   highest office   land told voters asking …",0,1,0,1,1,0,1,0,1,3
"12","Arizona","AZ","rt theboveed trump election poll shakes  2024 race  maga trump2024 trump

httpstcouabtfytujf",0,0,0,0,0,0,1,1,0,0
"12","California","CA","meet  10 biggest megadonors   2022 midterm elections httpstcoumxs3licvn",0,0,0,0,0,0,0,0,0,0
"12","South Carolina","SC","rt jackposobiec biden  begging saudi arabia   cut production    election pathetic",0,1,1,0,0,1,0,0,2,1
"12","Arizona","AZ","rt adamkinzinger 11 smithforaz felt compelled  run   independent  gop extremists sought  overturn arizona’s election resu…",0,0,0,0,0,0,0,0,1,0
"12","New York","NY","rt brendajurgens3 betoorourke getting reports    tx  big  small county elections offices    lines outside th…",0,0,0,1,0,0,0,1,1,0
"12","Washington","WA","rt brendajurgens3 betoorourke getting reports    tx  big  small county elections offices    lines outside th…",0,0,0,1,0,0,0,1,1,0
"12","North Carolina","NC","rt cnn shortly   2016 election  fbi offered retired british spy christopher steele “  1 million”  prove  explosive…",1,2,0,1,0,0,1,0,1,1
"12","Florida","FL"," people know florida elections  well  st augustine native amp longtime strategist steveschale please join… httpstcokztoehxcgq",0,1,0,0,0,0,0,1,0,2
